29 12 3 13 33 45
29 13 3 6 14 46
29 14 3 14 15 46
29 15 3 7 26 40
29 16 3 11 23 27
29 17 3 13 19 24
29 18 3 6 14 25
29 19 3 14 15 25
29 20 3 17 19 24
29 21 3 9 20 25
29 22 3 10 12 45
30 1 2 2 21
30 2 3 3 4 22
30 3 3 6 7 8
30 4 3 7 8 23
30 5 3 11 17 24
30 6 3 19 20 55
30 7 3 10 25 56
